Country,Total,Employment_Age,Employed,Employed_percent,Canton
Afghanistan,226,123,42,0.34146341463414637,SG
China (Volksrepublik),37,29,20,0.68965517241379315,SG
Irak,53,35,15,0.42857142857142855,SG
Iran,40,31,22,0.70967741935483875,SG
Sri Lanka,202,146,102,0.69863013698630139,SG
Syrien,622,322,129,0.40062111801242234,SG
Türkei,350,239,54,0.22594142259414227,SG
Äthiopien,2,2,1,0.5,SH
Eritrea,316,189,104,0.55026455026455023,SH
Somalia,11,5,2,0.4,SH
Afghanistan,37,26,12,0.46153846153846156,SH
China (Volksrepublik),19,11,9,0.81818181818181823,SH
Irak,18,13,4,0.30769230769230771,SH
Iran,11,7,2,0.2857142857142857,SH
Sri Lanka,65,45,31,0.68888888888888888,SH
Syrien,162,110,43,0.39090909090909093,SH
Türkei,77,51,8,0.15686274509803921,SH
Äthiopien,30,19,9,0.47368421052631576,SO
Eritrea,944,578,279,0.48269896193771628,SO
Somalia,37,19,8,0.42105263157894735,SO
Afghanistan,140,79,26,0.32911392405063289,SO
China (Volksrepublik),30,17,9,0.52941176470588236,SO
Irak,48,32,9,0.28125,SO
Iran,32,29,17,0.58620689655172409,SO
Sri Lanka,169,126,75,0.59523809523809523,SO
Syrien,414,244,96,0.39344262295081966,SO
Türkei,159,104,23,0.22115384615384615,SO
Äthiopien,13,9,3,0.33333333333333331,SZ
Eritrea,387,229,132,0.57641921397379914,SZ
Somalia,3,2,1,0.5,SZ
Afghanistan,95,55,25,0.45454545454545453,SZ
China (Volksrepublik),19,15,11,0.73333333333333328,SZ
Irak,39,23,9,0.39130434782608697,SZ
Iran,15,11,6,0.54545454545454541,SZ
Sri Lanka,80,62,34,0.54838709677419351,SZ
Syrien,266,149,60,0.40268456375838924,SZ
Türkei,179,108,24,0.22222222222222221,SZ
Äthiopien,22,13,8,0.61538461538461542,TG
Eritrea,321,206,129,0.62621359223300976,TG
Somalia,20,10,2,0.2,TG
Afghanistan,59,34,8,0.23529411764705882,TG
China (Volksrepublik),20,15,6,0.4,TG
Irak,2,2,1,0.5,TG
Iran,19,17,10,0.58823529411764708,TG
Sri Lanka,55,34,21,0.61764705882352944,TG
Syrien,195,116,43,0.37068965517241381,TG
Türkei,110,72,14,0.19444444444444445,TG
Äthiopien,9,7,1,0.14285714285714285,TI
