Country,Total,Employment_Age,Employed,Employed_percent,Canton,Date
Iran,7,5,2,0.4,JU,2022-01
Sri Lanka,54,34,15,0.44117647058823528,JU,2022-01
Syrien,156,96,32,0.33333333333333331,JU,2022-01
Türkei,67,38,4,0.10526315789473684,JU,2022-01
Gesamttotal,2858,1794,890,0.49609810479375699,LU,2022-01
Äthiopien,19,16,10,0.625,LU,2022-01
Eritrea,1265,774,443,0.57235142118863047,LU,2022-01
Somalia,47,31,11,0.35483870967741937,LU,2022-01
Afghanistan,117,80,34,0.42499999999999999,LU,2022-01
China (Volksrepublik),41,27,18,0.66666666666666663,LU,2022-01
Irak,43,25,14,0.56000000000000005,LU,2022-01
Iran,61,45,19,0.42222222222222222,LU,2022-01
Sri Lanka,247,168,106,0.63095238095238093,LU,2022-01
Syrien,564,332,130,0.39156626506024095,LU,2022-01
Türkei,306,215,64,0.29767441860465116,LU,2022-01
Gesamttotal,1411,817,302,0.36964504283965727,NE,2022-01
Äthiopien,10,9,5,0.55555555555555558,NE,2022-01
Eritrea,591,330,137,0.41515151515151516,NE,2022-01
Somalia,65,29,10,0.34482758620689657,NE,2022-01
Afghanistan,112,65,21,0.32307692307692309,NE,2022-01
China (Volksrepublik),15,9,7,0.77777777777777779,NE,2022-01
Irak,26,14,2,0.14285714285714285,NE,2022-01
Iran,10,9,2,0.22222222222222221,NE,2022-01
Sri Lanka,128,83,49,0.59036144578313254,NE,2022-01
Syrien,321,177,49,0.2768361581920904,NE,2022-01
Türkei,66,44,6,0.13636363636363635,NE,2022-01
Gesamttotal,266,166,68,0.40963855421686746,NW,2022-01
Äthiopien,1,1,1,1,NW,2022-01
Eritrea,96,57,28,0.49122807017543857,NW,2022-01
Afghanistan,13,9,0,0,NW,2022-01
China (Volksrepublik),1,1,0,0,NW,2022-01
Irak,1,1,0,0,NW,2022-01
Iran,7,7,4,0.5714285714285714,NW,2022-01
Sri Lanka,36,24,16,0.66666666666666663,NW,2022-01
Syrien,52,27,11,0.40740740740740738,NW,2022-01
Türkei,50,35,8,0.22857142857142856,NW,2022-01
Gesamttotal,176,97,46,0.47422680412371132,OW,2022-01
Eritrea,94,47,20,0.42553191489361702,OW,2022-01
Afghanistan,1,1,1,1,OW,2022-01
China (Volksrepublik),12,9,8,0.88888888888888884,OW,2022-01
Irak,0,0,0,-,OW,2022-01
Iran,1,1,0,0,OW,2022-01
Sri Lanka,23,12,9,0.75,OW,2022-01
Syrien,20,13,4,0.30769230769230771,OW,2022-01
Türkei,6,5,1,0.2,OW,2022-01
Gesamttotal,3005,1793,805,0.44896820970440604,SG,2022-01
Äthiopien,53,31,18,0.58064516129032262,SG,2022-01
Eritrea,1324,791,396,0.50063211125158025,SG,2022-01
Somalia,85,45,22,0.48888888888888887,SG,2022-01
Afghanistan,185,101,39,0.38613861386138615,SG,2022-01
China (Volksrepublik),40,32,23,0.71875,SG,2022-01
Irak,51,34,14,0.41176470588235292,SG,2022-01
Iran,35,27,14,0.51851851851851849,SG,2022-01
Sri Lanka,227,160,107,0.66874999999999996,SG,2022-01
Syrien,601,310,120,0.38709677419354838,SG,2022-01
Türkei,264,181,23,0.1270718232044199,SG,2022-01
Gesamttotal,708,457,190,0.41575492341356673,SH,2022-01
Äthiopien,2,2,1,0.5,SH,2022-01
Eritrea,304,187,89,0.47593582887700536,SH,2022-01
Somalia,16,7,2,0.2857142857142857,SH,2022-01
Afghanistan,33,23,10,0.43478260869565216,SH,2022-01
China (Volksrepublik),23,16,10,0.625,SH,2022-01
Irak,19,11,2,0.18181818181818182,SH,2022-01
Iran,9,6,1,0.16666666666666666,SH,2022-01
Sri Lanka,76,52,31,0.59615384615384615,SH,2022-01
Syrien,149,101,35,0.34653465346534651,SH,2022-01
Türkei,59,39,5,0.12820512820512819,SH,2022-01
Gesamttotal,2023,1237,521,0.42118027485852871,SO,2022-01
Äthiopien,33,18,10,0.55555555555555558,SO,2022-01
Eritrea,929,564,256,0.45390070921985815,SO,2022-01
Somalia,36,18,5,0.27777777777777779,SO,2022-01
Afghanistan,108,64,25,0.390625,SO,2022-01
China (Volksrepublik),30,18,10,0.55555555555555558,SO,2022-01
Irak,46,30,6,0.2,SO,2022-01
Iran,29,27,11,0.40740740740740738,SO,2022-01
Sri Lanka,168,124,70,0.56451612903225812,SO,2022-01
Syrien,392,228,88,0.38596491228070173,SO,2022-01
Türkei,121,79,21,0.26582278481012656,SO,2022-01
Gesamttotal,1024,627,281,0.44816586921850082,SZ,2022-01
Äthiopien,10,6,4,0.66666666666666663,SZ,2022-01
Eritrea,376,229,126,0.55021834061135366,SZ,2022-01
Somalia,2,2,1,0.5,SZ,2022-01
Afghanistan,88,50,20,0.4,SZ,2022-01
China (Volksrepublik),24,20,19,0.95,SZ,2022-01
Irak,41,22,5,0.22727272727272727,SZ,2022-01
Iran,10,8,3,0.375,SZ,2022-01
Sri Lanka,77,58,33,0.56896551724137934,SZ,2022-01
Syrien,247,140,48,0.34285714285714286,SZ,2022-01
Türkei,115,72,14,0.19444444444444445,SZ,2022-01
Gesamttotal,830,523,238,0.45506692160611856,TG,2022-01
Äthiopien,22,12,5,0.41666666666666669,TG,2022-01
Eritrea,341,217,124,0.5714285714285714,TG,2022-01
Somalia,19,11,2,0.18181818181818182,TG,2022-01
Afghanistan,44,26,8,0.30769230769230771,TG,2022-01
China (Volksrepublik),19,15,6,0.4,TG,2022-01
