Country,Total,Employment_Age,Employed,Employed_percent,Canton
Afghanistan,185,101,39,0.38613861386138615,SG
China (Volksrepublik),40,32,23,0.71875,SG
Irak,51,34,14,0.41176470588235292,SG
Iran,35,27,14,0.51851851851851849,SG
Sri Lanka,227,160,107,0.66874999999999996,SG
Syrien,601,310,120,0.38709677419354838,SG
Türkei,264,181,23,0.1270718232044199,SG
Äthiopien,2,2,1,0.5,SH
Eritrea,304,187,89,0.47593582887700536,SH
Somalia,16,7,2,0.2857142857142857,SH
Afghanistan,33,23,10,0.43478260869565216,SH
China (Volksrepublik),23,16,10,0.625,SH
Irak,19,11,2,0.18181818181818182,SH
Iran,9,6,1,0.16666666666666666,SH
Sri Lanka,76,52,31,0.59615384615384615,SH
Syrien,149,101,35,0.34653465346534651,SH
Türkei,59,39,5,0.12820512820512819,SH
Äthiopien,33,18,10,0.55555555555555558,SO
Eritrea,929,564,256,0.45390070921985815,SO
Somalia,36,18,5,0.27777777777777779,SO
Afghanistan,108,64,25,0.390625,SO
China (Volksrepublik),30,18,10,0.55555555555555558,SO
Irak,46,30,6,0.2,SO
Iran,29,27,11,0.40740740740740738,SO
Sri Lanka,168,124,70,0.56451612903225812,SO
Syrien,392,228,88,0.38596491228070173,SO
Türkei,121,79,21,0.26582278481012656,SO
Äthiopien,10,6,4,0.66666666666666663,SZ
Eritrea,376,229,126,0.55021834061135366,SZ
Somalia,2,2,1,0.5,SZ
Afghanistan,88,50,20,0.4,SZ
China (Volksrepublik),24,20,19,0.95,SZ
Irak,41,22,5,0.22727272727272727,SZ
Iran,10,8,3,0.375,SZ
Sri Lanka,77,58,33,0.56896551724137934,SZ
Syrien,247,140,48,0.34285714285714286,SZ
Türkei,115,72,14,0.19444444444444445,SZ
Äthiopien,22,12,5,0.41666666666666669,TG
Eritrea,341,217,124,0.5714285714285714,TG
Somalia,19,11,2,0.18181818181818182,TG
Afghanistan,44,26,8,0.30769230769230771,TG
China (Volksrepublik),19,15,6,0.4,TG
Irak,3,3,2,0.66666666666666663,TG
Iran,19,17,8,0.47058823529411764,TG
Sri Lanka,53,35,26,0.74285714285714288,TG
Syrien,204,119,43,0.36134453781512604,TG
Türkei,71,53,9,0.16981132075471697,TG
Äthiopien,8,6,0,0,TI
Eritrea,607,329,79,0.24012158054711247,TI
Somalia,16,10,2,0.2,TI
Afghanistan,113,65,14,0.2153846153846154,TI
China (Volksrepublik),3,3,2,0.66666666666666663,TI
Irak,14,9,1,0.1111111111111111,TI
Iran,32,24,3,0.125,TI
Sri Lanka,89,63,27,0.42857142857142855,TI
Syrien,276,153,27,0.17647058823529413,TI
Türkei,117,80,7,8.7499999999999994E-2,TI
Eritrea,140,87,50,0.57471264367816088,UR
Afghanistan,19,11,6,0.54545454545454541,UR
China (Volksrepublik),4,4,3,0.75,UR
Irak,5,3,2,0.66666666666666663,UR
Iran,2,2,0,0,UR
Sri Lanka,36,23,17,0.73913043478260865,UR
Syrien,46,26,11,0.42307692307692307,UR
Türkei,37,24,4,0.16666666666666666,UR
Äthiopien,74,38,12,0.31578947368421051,VD
Eritrea,1939,1168,384,0.32876712328767121,VD
Somalia,149,78,22,0.28205128205128205,VD
Afghanistan,459,272,55,0.20220588235294118,VD
China (Volksrepublik),32,21,13,0.61904761904761907,VD
Irak,134,79,15,0.189873417721519,VD
Iran,89,60,13,0.21666666666666667,VD
Sri Lanka,353,231,126,0.54545454545454541,VD
Syrien,1322,717,165,0.23012552301255229,VD
Türkei,472,304,38,0.125,VD
Äthiopien,40,18,6,0.33333333333333331,VS
Eritrea,632,383,159,0.41514360313315929,VS
Somalia,56,25,7,0.28000000000000003,VS
Afghanistan,205,110,36,0.32727272727272727,VS
China (Volksrepublik),13,10,7,0.7,VS
Irak,58,27,10,0.37037037037037035,VS
Iran,33,19,7,0.36842105263157893,VS
Sri Lanka,111,66,36,0.54545454545454541,VS
Syrien,456,228,55,0.2412280701754386,VS
Türkei,205,130,26,0.2,VS
